"Name","Length","DirectoryName","LastWriteTime"
"Task 2.1 实施报告 - batch-schedule 集成成本优化建议.md","11560","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"Task 2.2 实施报告 - 前端显示优化建议 UI（部分完成）.md","9589","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"Task 2.2 完成报告 - 前端显示优化建议 UI（100% 完成）.md","10012","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"Task 3.1 完成报告 - 集成 ECharts.md","10499","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"Task 3.2 完成报告 - 集成到 OptimizationResultCard.md","11730","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"TimescaleDB 测试速查卡.md","6414","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:19"
"TimescaleDB 测试指南.md","3761","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:19"
"TimescaleDB 迁移 - 紧急修复指南.md","7393","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:12"
"TimescaleDB 迁移 - 冒烟测试报告.md","8519","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:18"
"TimescaleDB 迁移 - 文档更新记录.md","8954","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:18"
"TimescaleDB 迁移成功报告.md","9524","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:15"
"TimescaleDB 迁移问题诊断.md","9567","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:04"
"TimescaleDB 迁移执行清单.md","11867","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:08"
"TimescaleDB 迁移指南.md","7948","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:03"
"TimescaleDB 迁移最终方案.md","10177","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:05"
"TimescaleDB 文档精简说明.md","9011","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:20"
"TimescaleDB 文档精简完成报告.md","9418","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:21"
"TypeORM-NamingStrategy-Issue.md","4938","D:\Gihub\logix\docs\_archive_temp","2026/3/6 18:38:52"
"TypeORM-SnakeNamingStrategy-Investigation.md","6919","D:\Gihub\logix\docs\_archive_temp","2026/3/6 18:41:01"
"UI 更新修复报告 - SchedulingVisual 集成 OptimizationResultCard.md","17265","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"01-外部数据集成指南.md","14416","D:\Gihub\logix\docs\_archive_temp\04-api","2026/3/8 15:54:15"
"02-外部数据快速开始.md","9439","D:\Gihub\logix\docs\_archive_temp\04-api","2026/2/28 11:47:07"
"03-feituo-integration-complete.md","41643","D:\Gihub\logix\docs\_archive_temp\04-api-integration","2026/3/16 11:40:02"
"01-性能优化决策.md","9490","D:\Gihub\logix\docs\_archive_temp\07-performance","2026/2/28 13:51:33"
"02-性能优化指南.md","16970","D:\Gihub\logix\docs\_archive_temp\07-performance","2026/2/28 13:50:18"
"03-性能优化实现.md","8826","D:\Gihub\logix\docs\_archive_temp\07-performance","2026/2/28 13:58:33"
"01-TimescaleDB指南.md","17259","D:\Gihub\logix\docs\_archive_temp\08-deployment","2026/2/24 14:09:21"
"02-TimescaleDB快速参考.md","4030","D:\Gihub\logix\docs\_archive_temp\08-deployment","2026/2/24 14:10:10"
"03-监控用户指南.md","8791","D:\Gihub\logix\docs\_archive_temp\08-deployment","2026/2/28 14:07:54"
"04-监控真实数据指南.md","6316","D:\Gihub\logix\docs\_archive_temp\08-deployment","2026/2/28 14:07:48"
"java-container-planning-algorithm.md","14663","D:\Gihub\logix\docs\_archive_temp\analysis","2026/3/17 13:13:34"
"pickup-date-calculation-analysis.md","16885","D:\Gihub\logix\docs\_archive_temp\analysis","2026/3/17 13:45:32"
"车队数据架构优化方案.md","7088","D:\Gihub\logix\docs\_archive_temp\Database","2026/3/20 18:57:00"
"车队数据架构优化实施报告.md","8130","D:\Gihub\logix\docs\_archive_temp\Database","2026/3/20 18:57:00"
"DICT_TABLE_RELATIONSHIPS_GUIDE.md","32018","D:\Gihub\logix\docs\_archive_temp\Database","2026/3/25 16:52:06"
"01-calculation-modes-complete.md","9562","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/23 11:23:28"
"01-DEMURRAGE_LOGIC_FROM_CONTAINER_SYSTEM.md","14039","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/23 11:23:28"
"02-CONTAINER_SCHEDULING_AND_COST_OPTIMIZATION_PLAN.md","21396","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/8 7:49:56"
"03-DEMURRAGE_DATABASE_STATUS.md","8235","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/8 7:50:33"
"03-SHIPMENTS_STATS_USE_COMPUTED_DATES.md","9268","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/8 22:04:40"
"04-DEMURRAGE_STANDARDS_EXCEL_IMPORT.md","11317","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/8 18:23:38"
"04-DEMURRAGE_UI_AND_TROUBLESHOOTING.md","1479","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/22 7:57:19"
"05-DEMURRAGE_DATA_CALIBER_UNIFICATION.md","8733","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/8 17:25:27"
"05-DOC_VS_CODE_CONSISTENCY.md","3257","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/23 11:23:29"
"06-DEMURRAGE_AGGREGATION_AND_ALERT_VISUALIZATION.md","10761","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/8 22:28:41"
"06-frontend-adaptation-complete.md","17102","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/16 11:38:13"
"07-DEMURRAGE_TOP_CONTAINERS_OPTIMIZATION.md","2507","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/11 11:22:48"
"08-DEMURRAGE_CALCULATION_MODES-CODE-REVIEW.md","5306","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/12 9:13:28"
"08-DEMURRAGE_CALCULATION_MODES.md","11273","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/22 16:56:01"
"09-FRONTEND_MODE_ADAPTATION.md","6837","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/11 17:10:35"
"10-MODE_FIX_SUMMARY.md","9132","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/11 17:14:19"
"11-LAST_PICKUP_DATE_LABEL_UPDATE.md","7940","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/11 17:17:13"
"12-BUSINESS_RULES_CODE_VERIFICATION.md","4332","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/22 18:54:38"
"13-DEMURRAGE_CALCULATION_LOGIC_FINAL.md","9275","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/22 19:19:06"
"14-TIMELINE_METRICS_MINIMAL_PLAN.md","7792","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/22 19:49:30"
"ARCHIVED_CALC_MODES.md","874","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/16 11:38:12"
"README.md","1943","D:\Gihub\logix\docs\_archive_temp\demurrage-old","2026/3/22 19:39:26"
"99-ARCHIVED_INDEX.md","9684","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/16 11:42:59"
"成本优化理念升级说明.md","11323","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"免费天数基准组合模式验证.md","15252","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"日期计算逻辑修正说明.md","15114","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"性能优化实战指南.md","22175","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"智能排柜功能完整文档.md","27107","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"智能排柜实现差距分析-对比 ContainerPlanning-0913.md","26628","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"智能排柜系统测试指南.md","34137","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"智能排柜系统成本优化策略.md","21413","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"智能排柜系统开发进度总结.md","18283","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/17 14:42:52"
"智能排柜系统开发与优化方案.md","23485","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"智能排柜系统文档索引.md","13469","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"智能排柜系统重构与优化方案 - 评审报告.md","18698","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"智能排柜系统重构与优化方案 - 实施计划更新.md","6352","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/21 6:30:14"
"智能排柜系统重构与优化方案 - 实施摘要.md","13878","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/23 8:10:07"
"智能排柜系统重构与优化方案-评审报告.md","9274","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/23 8:10:07"
"智能排柜系统重构与优化方案.md","36575","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/23 8:10:07"
"智能排柜系统综合开发实施总纲.md","20559","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"智能排柜最终方案-综合版.md","9579","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/18 9:02:01"
"滞港费计算逻辑与代码实现差异分析.md","30633","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"BATCH_ARCHIVE_CHECKLIST.md","4526","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/16 11:38:12"
"ContainerPlanning-0913 算法解读与三大洞察分析.md","21149","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"Detention-Charge 滞箱费计算逻辑验证.md","11264","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"DOCUMENT_REORGANIZATION_PLAN.md","19631","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/16 11:12:23"
"FINAL_REPORT.md","11136","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/16 11:47:10"
"GLOBAL_COUNTRY_FILTER_DESIGN.md","6351","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/15 7:05:24"
"Phase1 实施完成报告.md","9704","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"Phase1 完成确认报告.md","7403","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:08"
"Phase1-SQL 幂等性修复说明.md","3958","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:08"
"Phase2 实施进度报告.md","5403","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:08"
"Phase2 实施完成报告.md","8377","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/21 6:30:14"
"Phase2 完成报告.md","11225","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:08"
"Phase3 实施方案.md","12754","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:08"
"Phase3 实施进度报告.md","12749","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:08"
"Phase3 实施准备清单.md","16931","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:08"
"Phase3-任务 3.1 完成报告.md","8781","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:08"
"Phase3-任务 3.2&3.3 完成报告.md","11619","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:08"
"Phase3-任务 3.4 完成报告.md","11820","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:08"
"README-智能排柜快速入门.md","9373","D:\Gihub\logix\docs\_archive_temp\frontend-old-docs","2026/3/20 17:37:07"
"时间概念说明-历时倒计时超期.md","16776","D:\Gihub\logix\docs\_archive_temp\help-old","2026/3/12 11:20:08"
"scheduling-database-changes-summary.md","11752","D:\Gihub\logix\docs\_archive_temp\implementation-old","2026/3/17 13:45:32"
"scheduling-enhancement-summary.md","15530","D:\Gihub\logix\docs\_archive_temp\implementation-old","2026/3/17 14:19:03"
"scheduling-final-verification.md","12000","D:\Gihub\logix\docs\_archive_temp\implementation-old","2026/3/17 14:19:03"
"scheduling-migration-execution-guide.md","8146","D:\Gihub\logix\docs\_archive_temp\implementation-old","2026/3/17 14:19:01"
"关键日期显示逻辑说明.md","9556","D:\Gihub\logix\docs\_archive_temp\logistics-old","2026/3/11 17:27:35"
"物流节点历时与超期标签说明.md","7682","D:\Gihub\logix\docs\_archive_temp\logistics-old","2026/3/11 17:24:32"
"01-Excel导入指南.md","4375","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/2/28 11:47:07"
"02-核心映射参考.md","16053","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/2/26 19:22:17"
"03-海关查验状态.md","6693","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/3/8 15:54:15"
"04-字典映射设置.md","4352","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/3/7 20:57:38"
"05-通用字典映射指南.md","17366","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/2/27 11:39:17"
"06-按到港统计分类完整文档.md","11357","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/3/5 14:14:48"
"07-文档传输日期类型变更.md","2737","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/2/28 11:47:07"
"08-运费金额导入修复.md","4256","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/2/28 11:47:07"
"09-实现时间修复指南.md","6763","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/2/28 11:47:07"
"10-导入映射修复总结.md","9247","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/2/26 20:08:21"
"11-时间戳迁移完成.md","5976","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/2/26 20:26:15"
"12-货柜表格绑定.md","5250","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/3/7 10:44:02"
"13-货柜表格计划.md","7514","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/3/7 17:55:42"
"14-货柜页面逻辑与故障排除.md","11198","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/3/7 11:12:56"
"15-语法高亮测试.md","2798","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/2/28 13:14:53"
"16-数据来源流程与变更日志方案.md","8145","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/3/23 8:10:07"
"17-飞驼API与Excel导入字段对齐.md","6596","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/3/23 8:10:07"
"18-Excel列名与导入映射对照.md","3506","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/3/11 11:38:06"
"19-飞驼导出字段与导入映射对照.md","7172","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/3/23 8:10:07"
"20-飞驼Excel字段分组对照验证.md","4670","D:\Gihub\logix\docs\_archive_temp\misc-old","2026/3/23 8:10:07"
"仓库手工指定功能 - 测试指南.md","11324","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 15:12:00"
"仓库手工指定功能 - 紧急修复报告.md","8671","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 15:12:00"
"仓库手工指定功能 - 设计方案.md","23432","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 15:12:00"
"仓库手工指定功能 - 实施报告.md","10820","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 15:12:00"
"仓库手工指定功能 - 完成报告.md","14747","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 15:11:59"
"车队 partnership_level 字段迁移完成报告.md","7466","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 17:36:41"
"车队 partnership_level 字段迁移指南.md","6472","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 16:22:50"
"车队关系类型确定方案.md","11609","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 16:22:50"
"车队选择优化方案 - 多目标平衡策略.md","22962","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 15:12:00"
"车队选择优化方案 - 实施进度报告.md","11513","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 16:22:50"
"车队选择优化方案 - 实施总结报告.md","11928","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 16:22:50"
"车队选择优化方案 - Phase 2 完成报告.md","14241","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 16:22:50"
"车队选择优化方案 - Phase 3 测试与优化指南.md","11255","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 16:22:50"
"成本集成-unloadDate 重命名-plannedPickupDate.md","13909","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 19:24:42"
"成本计算 - 所有费用项完整清单.md","17178","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 8:55:07"
"成本计算统一方案-Phase1.1 实施记录.md","19311","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/25 19:18:29"
"成本计算统一方案-Phase1.2 实施总结.md","9574","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/25 19:15:47"
"成本计算统一方案-Phase1.2-1.3 实施记录.md","6417","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/28 21:28:00"
"成本计算统一方案-Phase1.3 实施总结.md","13842","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/25 19:18:59"
"成本计算统一方案-Phase2 实施总结.md","14751","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 8:19:45"
"成本计算统一方案-Phase4 实施总结.md","11377","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 8:39:15"
"成本优化 - 免费期字段完整分析.md","12190","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 19:24:42"
"成本优化-P2P3 功能实现.md","12481","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 19:24:42"
"成本优化快速参考卡.md","6579","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 19:24:42"
"成本在排产中的集成与运用 - 影响分析.md","37116","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/26 10:21:59"
"堆存费概念澄清与命名规范.md","13403","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/25 19:53:35"
"飞驼导入-actual_loading_date 字段修复说明.md","9688","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/25 16:52:06"
"费用概念澄清与完整实施记录.md","8491","D:\Gihub\logix\docs\_archive_temp\Phase3","2026/3/28 21:28:00"
